Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
11375,Permit,SUN-VIEW INDUSTRIES LTD. ,6/30/1993,,Effluent,Active,300000  Manufacturing - Miscellaneous,  ,L,,Schedule 1,Aluminum and Aluminum Alloy Products Industry,"Lasuik, Jason",Penticton,Southern Interior,Central Okanagan ,Authorizations - South Region,Summerland,Powder Coating  ,SUMMERLAND,Joe Kelso,(250) 494-9222,svpc@telus.net,49.6249,119.6831,SUMMERLAND,"PO BOX 1229 SUMMERLAND, BC V6H 1Z0"
11376,Hazardous Waste Regulation,SCHOOL DISTRICT NO. 69 (QUALICUM) ,,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,PARKSVILLE,Unknown,,,49.325611,124.328676,PARKSVILLE,"C/O  PROPERTIES DEPT. 499 WEST ISLAND HWY PARKSVILLE, BC V9P 2G5"
11383,Permit,UKASS LOGGING LTD. ,6/7/1993,,Refuse,Abandoned,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 2,Wood Processing Industry - Primary,"Archibald, Liz",Cranbrook,Southern Interior,,Authorizations - South Region,Nelson,Sawmill  ,WILMER CREEK,Unknown,() -,,50.531,116.1722,WILMER CREEK,"BOX 151 INVERMERE, BC V0A 1K0"
11392,Hazardous Waste Regulation,NANAIMO REGIONAL GENERAL HOSPITAL (SOCIETY) ,,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,NANAIMO,Unknown,,,49.183228,123.972294,NANAIMO,"1200 DUFFERIN CR NANAIMO, BC V9S 2B7"
11396,Permit,EDGE GRAIN FOREST PRODUCTS LTD. ,5/19/1993,,Air,Active,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Primary,"Vroom, Bryan",Nanaimo,Southern Interior,Mount Waddington ,Authorizations - South Region,Nanaimo,n/a  ,NEAR WOSS CAMP,Dennis Nelson,(250) 287-6271,,50.2008,126.616,NEAR WOSS CAMP,"DENNIS NELSON P.O. BOX 362 CAMPBELL RIVER, BC V9W 5B6"
11396,Permit,EDGE GRAIN FOREST PRODUCTS LTD. ,5/19/1993,,Refuse,Active,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Primary,"Vroom, Bryan",Nanaimo,Southern Interior,Mount Waddington ,Authorizations - South Region,Nanaimo,n/a  ,NEAR WOSS CAMP,Dennis Nelson,(250) 287-6271,,50.2008,126.616,NEAR WOSS CAMP,"DENNIS NELSON P.O. BOX 362 CAMPBELL RIVER, BC V9W 5B6"
11401,Permit,BURNS LAKE KEYOH DECHUN ILAH LIMITED PARTNERSHIP ,2/1/1996,,Air,Cancelled,321900  Forest Sector - Other Wood Manufacturing,  ,L,,Schedule 2,Wood Processing Industry - Secondary,"Pierce, Eric",Smithers,Northern,Bulkley-Nechako,Authorizations - North Region,Smithers,"Remanufacturing Wood Products  Remanufacturing Wood Products - Trim Block processing, finger joint lumber manufacturing, edge glue wood products manufacturing","3970 Moe Road, Decker Lake BC  V0J 1E1",Alex Tett,(250) 692-3188,atett@blndc.ca,54.289792,125.818155,"Lot 1, Plan PRP 13246, District Lot 2510, Range 5, Coast Range 5 Land District","PO BOX 1179, Burns Lake BC  V0J 1E0"
11402,Permit,DISTRICT OF SALMON ARM ,10/21/1996,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Danyluk, Carol",Kamloops,Southern Interior,,Authorizations - South Region,Salmon Arm,n/a  ,SALMON ARM,Unknown,() -,,50.7015,119.2912,SALMON ARM,"BOX 40 SALMON ARM, BC V1E 4N2"
11403,Finfish Aquaculture Waste Control Regulation,MARINE HARVEST CANADA ,2/18/2003,,Effluent,Cancelled,112500  Aquaculture - Land Based,  ,L,,N/A,,"Obee, Nicole",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,CONVILLE POINT (QUADRA ISLAND),Unknown,,,60,140,CONVILLE POINT (QUADRA ISLAND),"1211 CYPRESS ST CAMPBELL RIVER, BC V9W 2Z3"
11411,Permit,ARNOLD MALM - DBA  ,7/28/1995,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Vergamini, Don",Kamloops,Southern Interior,,Authorizations - South Region,Lillooet,n/a  ,LILLOOET,Robert Malm,(250) 256-4115,memvm4@hotmail.com,50.6934,121.9197,LILLOOET,"BOX 161 LILLOOET, BC V0K 1V0"
11412,Permit,CITY OF PRINCE RUPERT ,10/18/1994,,Effluent,Active,483000  Transportation - Marine Terminal / Transport,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Reeves, Michelle",Smithers,Northern,North Coast ,Authorizations - North Region,Prince Rupert,Municpal Sewage System  Municipal Sewage System,Prince Rupert,Unknown,() -,,54.294692,130.353313,PRINCE RUPERT,"424 WEST THIRD AVE PRINCE RUPERT, BC V8J 1L7"
11422,Permit,TERRACE REDI-MIX LTD. ,3/31/1993,,Air,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,N/A,,"Pierce, Eric",Smithers,Northern,Kitimat-Stikine ,Authorizations - North Region,Smithers,Concrete Ready-Mix Plant  ,Terrace,Unknown,() -,,54.5215,128.6448,"Lot B, Block 2, Plan 4653, District Lot 1704, Range 5, Coast District","3332 Earl Street, Terrace BC  V8G 0C6"
11429,Hazardous Waste Regulation,BOARD OF SCHOOL TRUSTEES OF DISTRICT #61 ,,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,"491 CECELIA ROAD, VICTORIA",Unknown,,,48.443433,123.375961,"491 CECELIA ROAD, VICTORIA","491 CECILIA ROAD VICTORIA, BC V8T 4T4"
11436,Permit,NEUCEL SPECIALTY CELLULOSE LTD. ,8/18/1993,,Refuse,Active,322110  Forest Sector - Pulp Mills,562230  Solid Waste Management,M,,Schedule 1,Pulp Industry,"Soufan, Safwan",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Log Booming Ground  ,NEAR PORT ALICE PULP MILL SITE,Unknown,() -,,50.3692,127.433,NEAR PORT ALICE PULP MILL SITE,"2184 - 1055 DUNSMUIR BENTALL FOUR VANCOUVER, BC V7X 1C4"
11437,Hazardous Waste Regulation,CATALYST PAPER CORPORATION AND CATALYST PULP OPERATIONS LI ,,,,Cancelled,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,N/A,,"Soufan, Safwan",Nanaimo,Southern Interior,Strathcona,Authorizations - South Region,Nanaimo,  ,"ELK FALLS MILL, CAMPBELL RIVER",Unknown,,,50.0712,125.2806,"ELK FALLS MILL, CAMPBELL RIVER",
11461,Permit,INTERNATIONAL FOREST PRODUCTS LIMITED ,12/15/1992,,,Abandoned,113311  Forest Sector - Logging,  ,L,,N/A,,"Lawrie, Peter",Williams Lake,Northern,Central Coast ,Authorizations - North Region,Bella Bella,DLS Landfill  ,Security Bay,Unknown,() -,,51.370769,127.496093,BOSWELL INLET - SECURITY BAY,"1250 A Ironwood Street, Campbell River, BC, V9W 6H5"
11473,Hazardous Waste Regulation,POWER BATTERY SALES LTD. ,7/8/2004,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Enick, Oana",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Burnaby,  ,"BURNABY, 107A - 3430 BRIGHTON AVE.",Unknown,,,49.252561,122.91741,"BURNABY, 107A - 3430 BRIGHTON AVE.","1 - 40 DYNAMIC DRIVE SCARBOROUGH, ON M1V 2W2"
11475,Permit,BIOWASTE MANAGEMENT LTD. ,11/19/1992,,Air,Cancelled,562210  Waste Treatment - Commercial Treatment & Disposal,569999  Waste Treatment - Composting,L,,Schedule 2,Composting Operations,"Hamelin, Trevor",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,Composting Facility  ,"ABBOTSFORD, 27715 HUNTINGDON ROAD",Unknown,() -,,49.019078,122.455984,"ABBOTSFORD, 27715 HUNTINGDON ROAD","#1760-1140 WEST PENDER ST VANCOUVER, BC V6E 4G1"
11478,Permit,HULDRA PROPERTIES INC. ,4/12/1995,,Effluent,Active,212200  Mining - Metal,  ,H,,Schedule 1,Mining and Coal Mining Industry,"Oldfield, Devan",Kamloops,Mining Operations,Thompson-Nicola,Authorizations - South Region,Merritt,"Silver, Lead, Zinc Floatation Plant  Silver, Lead, Zinc Floatation Plant","3329 Aberdeen Road , Lower Nicola BC  V0K 1Y0",Ron Veinotte - Mill Manager,(250) 525-0134,ron@nicolamining.com,50.191301,120.883888,12-24-14-22-W6,"3329 Aberdeen Road, Lower Nicola, BC, V0K 1Y0, "
11492,Permit,"COLWOOD LAND COMPANY, LIMITED ",11/4/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Golf Clubhouse  ,"ROYAL COLWOOD GOLF COURSE, VICTORIA",Unknown,() -,,48.4439,123.484,"ROYAL COLWOOD GOLF COURSE, VICTORIA","BOX 7428 STATION D VICTORIA, BC V9B 5B8"
11493,Permit,INTERNATIONAL FOREST PRODUCTS LIMITED ,6/23/1993,,Air,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 2,Wood Processing Industry - Primary,"Vroom, Bryan",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Dry Land Log Sorting Operation  Dry Land Log Sorting Operation,"Butterfly Bay, West Thurlow Island, within TFL 45, Range 1 Coast Land District",Unknown,() -,,50.4,125.55,"within TFL 45, Range 1 Coast Land District","PO BOX 49114 FOUR BENTALL CENTRE VANCOUVER, BC V7X 1H7"
11493,Permit,INTERNATIONAL FOREST PRODUCTS LIMITED ,6/23/1993,,Refuse,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 2,Wood Processing Industry - Primary,"Vroom, Bryan",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Dry Land Log Sorting Operation  Dry Land Log Sorting Operation,"Butterfly Bay, West Thurlow Island, within TFL 45, Range 1 Coast Land District",Unknown,() -,,50.4,125.55,"within TFL 45, Range 1 Coast Land District","PO BOX 49114 FOUR BENTALL CENTRE VANCOUVER, BC V7X 1H7"
11503,Asphalt Plant Regulation,"PITTMAN ASPHALT, DIV. OF YCS HOLDING LTD ",9/11/1997,,Air,Active,324120  Asphalt Manufacturing (no batch plants),  ,L,,Schedule 2,Asphalt Plant Industry,"Thornton, Kimberley",Prince George,Northern,,Authorizations - North Region,Prince George,  Asphalt Plant,MOBILE - VARIOUS LOCATIONS,Trevor Nimmo  	,9444,tnimmo@ycs.bc.ca,53.949048,122.826439,MOBILE - VARIOUS LOCATIONS,"PO BOX 2370 PRINCE GEORGE, BC V2N 2S6"
11504,Permit,MICHAEL A. WALKER - DBA  ,4/22/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Berube, Conrad",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Mobile Home Park  36 unit,COURTENAY,Unknown,() -,,49.7135,124.931,COURTENAY,"830 BRAESIDE STREET WEST VANCOUVER, BC V7T 2K8"
11511,Permit,CANADIAN NATURAL RESOURCES LIMITED ,1/25/1995,,Effluent,Active,211110  Oil & Gas - Processing Plants,  ,L,,N/A,,"Butler, Rachel",Fort St. John (OGC),Oil & Gas/LNG Operations,,Oil & Gas Commission,Prince George,N/A  ,CYPRESS GAS PLANT B-99-C/94-B-16,Unknown,() -,,56.826267,122.361523,CYPRESS GAS PLANT B-99-C/94-B-16,"PO BAG 6450 STN MAIN FORT ST JOHN, BC V1J 4H8"
11516,Permit,CUMBERLAND SAND & GRAVEL LTD ,4/15/1993,,Effluent,Cancelled,212300  Mining - Quarries,  ,L,,N/A,,"Pomajzl, Vladimir",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Concrete  ,4441 MINTO ROAD,Unknown,() -,,49.6319,125.015,"4441 MINTO ROAD,","Box 1210, Cumberland BC   V0R 1S0"
11517,Permit,BATH HOLDINGS INC. ,12/4/1997,,Air,Cancelled,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Primary,"Phillips, Lloyd",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,Shake and Shingle Mill  ,"2637 Deacon St, Abbotsford BC",Unknown,() -,,49.0501,122.3683,ABBOTSFORD,"31500 DOWNS ROAD ABBOTSFORD, BC V4X 2M7"
11525,Permit,CHRISTINA SANDS ESTATES SOCIETY ,6/9/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"D`Souza, Roshan",Nelson,Southern Interior,Kootenay Boundary,Authorizations - South Region,Penticton,N/A  ,"1805 3 Highway, Christina Lake BC  V0H 1E2",Wayne Molnar,(250) 364-4655,,49.0502,118.2081,"Lot 8, District Lot 750, S.D.Y.D. Plan 2164 except: Plan 6850 and PCL A on B6524","1805 HWY. #3 CHRISTINA LAKE, BC V0H 1E2"
11527,Permit,EAST END HOLDINGS ,2/1/1993,,Air,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,N/A,,"Pierce, Eric",Smithers,Northern,,Authorizations - North Region,Smithers,concrete ready-mix plant  ,TERRACE,Unknown,() -,,54.5135,128.583,TERRACE,"3751 OLD LAKELSE LAKE ROAD TERRACE, BC V8G 5P4"
11529,Hazardous Waste Regulation,NEWALTA CORPORATION ,,,,Cancelled,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,N/A,,"Enick, Oana",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Surrey,  ,"130 FORESTER STREET, NORTH VANCOUVER",Unknown,,,49.30387,123.012301,"130 FORESTER STREET, NORTH VANCOUVER",
11532,Hazardous Waste Regulation,TECK METALS LTD. ,,,Air,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,H,,Schedule 1,Hazardous Waste Management,"McCandlish, Brad",Nelson,Southern Interior,Kootenay Boundary,Authorizations - South Region,Trail,  Hazardous Waste Storage Facility,"Trail Operations , PO Box 1000, 25 Aldridge Ave, Trail BC V1R 4L8",Suzanne Belanger,4731,suzanne.belanger@teck.com,49.111911,117.736636,"TRAIL, BC","PO Box 1000, Trail BC  V1R 4L8"
11532,Hazardous Waste Regulation,TECK METALS LTD. ,,,Effluent,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,H,,Schedule 1,Hazardous Waste Management,"McCandlish, Brad",Nelson,Southern Interior,Kootenay Boundary,Authorizations - South Region,Trail,  Hazardous Waste Storage Facility,"Trail Operations , PO Box 1000, 25 Aldridge Ave, Trail BC V1R 4L8",Suzanne Belanger,4731,suzanne.belanger@teck.com,49.111911,117.736636,"TRAIL, BC","PO Box 1000, Trail BC  V1R 4L8"
11532,Hazardous Waste Regulation,TECK METALS LTD. ,,,Hazardous Waste,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,H,,Schedule 1,Hazardous Waste Management,"McCandlish, Brad",Nelson,Southern Interior,Kootenay Boundary,Authorizations - South Region,Trail,  Hazardous Waste Storage Facility,"Trail Operations , PO Box 1000, 25 Aldridge Ave, Trail BC V1R 4L8",Suzanne Belanger,4731,suzanne.belanger@teck.com,49.111911,117.736636,"TRAIL, BC","PO Box 1000, Trail BC  V1R 4L8"
11536,Permit,DYNAMIC INDUSTRIAL REWIND LTD. ,7/8/1993,,Air,Cancelled,811192  Transportation - Car Washes,  ,L,,N/A,,"Hamilton, Rodger",Williams Lake,Southern Interior,,Authorizations - South Region,Williams Lake,electric motor rebuilding operation  ,WILLIAMS LAKE,Unknown,() -,,52.12504,122.1437,"Lot 4, Block 17, Plan 1553, District Lot 71, Cariboo Land District","2480-1066 West Hastings Street, Vancouver BC  V6E 3X2"
11539,Permit,C.B. ISLAND FISHERIES LTD. ,8/14/1995,,Effluent,Cancelled,311100  Food - Animal Feed,  ,L,,Schedule 2,Fish Products Industry,"White, Kirsten",Nanaimo,Southern Interior,North Coast ,Authorizations - South Region,Masset,Fish Processing Plant  ,"PO BOX 335, Masset BC  V0T 1M0",Unknown,() -,,54.001246,132.143954,"the terminus of CB Island Fisheries Ltd. dock at Village of Masset Lot 1, Plan PRP 13496, District Lot 8, Queen Charlotte Land District","PO BOX 335, Massett BC  V0T 1M0"
11550,Permit,TIMBERWEST FOREST CORP. ,2/10/1993,,Air,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,M,,Schedule 2,Wood Processing Industry - Primary,"Pearce, Katherine",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,n/a  ,BEAVER COVE,Unknown,() -,,50.5178,126.876,BEAVER COVE,"C/O TFL FOREST LTD. 3 - 4890 RUTHERFORD ROAD NANAIMO, BC V9T 4Z4"
11550,Permit,TIMBERWEST FOREST CORP. ,2/10/1993,,Refuse,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,M,,Schedule 2,Wood Processing Industry - Primary,"Pearce, Katherine",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,n/a  ,BEAVER COVE,Unknown,() -,,50.5178,126.876,BEAVER COVE,"C/O TFL FOREST LTD. 3 - 4890 RUTHERFORD ROAD NANAIMO, BC V9T 4Z4"
11570,Permit,"MY RECREATIONAL MOUNTAIN CO-OPERATIVE MY MOUNTAIN COOP, SHAMES MOUNTAIN",7/8/1993,1/3/2999,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Reeves, Michelle",Smithers,Northern,Kitimat-Stikine ,Authorizations - North Region,Terrace,Ski Hill STP  sewage treatment plant - modified activated sludge sewage treatment system.,"Approximately 35 km West of Terrace, BC.  Off of Shames Mountain Access Road, close to Galloways Creek Bellow the base area of the ski hill.",Darryl Bjorgarrd or Frank Walle,(250) 635-9150,dw.bjorgaard@citywest.ca,54.48477,128.9515,"Approximately 35 km West of Terrace, BC.  Off of Shames Mountain Access Road, close to Galloways Creek Bellow the base area of the ski hill.","4805 Hwy 16 West, Terrace BC  V8G 0H3"
11580,Permit,485955 B.C. LTD. ,4/26/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Waters, Neale",Kamloops,Southern Interior,,Authorizations - South Region,Kamloops,Resort  ,KAMLOOPS,Unknown,() -,,50.653,120.008,KAMLOOPS,"SOUTH THOMPSON INN INC. 3438 SHUSWAP ROAD KAMLOOPS, BC V2H 1T2"
11581,Permit,C. A. HOMES LTD. ,9/23/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Nanaimo,Residential Subdivision  ,"HUTCHINSON ROAD, COBBLE HILL",Unknown,() -,,48.6888,123.592,"HUTCHINSON ROAD, COBBLE HILL","ATTENTION:  MR. STEWART PARKINSON, P.ENG #1-2227 SOOKE RD VICTORIA, BC V9B 1W9"
11587,Permit,WESTERN FOREST PRODUCTS INC. ,4/22/1993,,Air,Cancelled,321100  Forest Sector - Sawmills,  ,M,,Schedule 2,Wood Processing Industry - Primary,"Phillips, Lloyd",Nanaimo,Southern Interior,Nanaimo ,Authorizations - South Region,Nanaimo,Nanaimo Sawmill   Nanaimo Sawmill,"CRACE STREET, NANAIMO",Unknown,() -,,49.1606,123.924,"CRACE STREET, NANAIMO","118 - 1334 Island Highway, Campbell River, B.C., V9W 8C9"
11596,Permit,MOWI CANADA WEST INC. ,8/20/1993,,Effluent,Active,311000  Food  - Manufacturing/Processing,  ,L,,Schedule 2,Fish Products Industry,"Merkulova, Lyudmila",Nanaimo,Southern Interior,Mount Waddington ,Authorizations - South Region,Port Hardy,Fish Processing  fish processing plant,"7200 Coho Road, Port Hardy BC  V0N 2P0",Mowi Canada West Inc.,(250) 850-3276,,50.724534,127.468406,Lot 1 Plan VIP83073 Section 31 Township 6 Land District 49 & SEC 32,"124-1334 Island Highway, Campbell River BC  V9W 8C9"
11597,Hazardous Waste Regulation,BUDGET STEEL LTD. ,,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,"2770 PLEASANT STREET, VICTORIA",Unknown,,,48.437094,123.376945,"2770 PLEASANT STREET, VICTORIA","2770 PLEASANT ST VICTORIA, BC V8T 4V3"
11606,Permit,CHETWYND MECHANICAL PULP INC. ,10/29/1993,,Effluent,Active,322110  Forest Sector - Pulp Mills,  ,M,High,Schedule 1,Pulp Industry,"Bailey, Neil",Prince George,Northern,Peace River ,Authorizations - North Region,Chetwynd,Thermomechanical Pulp Mill  bleached chemical thermo-mechanical Pulp Mill,"4181 Chetwynd Pulp Mill Road, Chetwynd BC V0C 1J0",Louanne Gilmour,(306) 764-1521,lgilmour@papulp.com,55.7421,121.3051,,"4181 Chetwynd Pulp Mill Road, Chetwynd BC  V0C 1J0"
11606,Permit,CHETWYND MECHANICAL PULP INC. ,10/29/1993,,Refuse,Active,322110  Forest Sector - Pulp Mills,  ,M,High,Schedule 1,Pulp Industry,"Bailey, Neil",Prince George,Northern,Peace River ,Authorizations - North Region,Chetwynd,Thermomechanical Pulp Mill  bleached chemical thermo-mechanical Pulp Mill,"4181 Chetwynd Pulp Mill Road, Chetwynd BC V0C 1J0",Louanne Gilmour,(306) 764-1521,lgilmour@papulp.com,55.7421,121.3051,,"4181 Chetwynd Pulp Mill Road, Chetwynd BC  V0C 1J0"
11628,Permit,"BC ENVIRONMENT, LANDS AND PARKS ",10/5/1992,,Refuse,Active,912000  Administration - Provincial & Territorial,562230  Solid Waste Management,L,,Schedule 2,Industrial Non-hazardous Waste LandfillsCode of Practice for Industrial Non-Hazardous Waste Landfills Incidental to the Wood Processing Industry,"Hackinen, Coleen",Surrey,Land Remediation,Metro Vancouver,Authorizations - South Region,Vancouver,municipal landfill  ,"VANCOUVER, KEEFER AND QUEBEC STS.",Unknown,() -,,49.278572,123.105225,"Lots 195 and 196, False Creek Plan 23011, New Westminster District","777 BROUGHTON ST VICTORIA, BC V8V 1X4"
11630,Permit,COWICHAN VALLEY REGIONAL DISTRICT ,7/7/1993,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Nanaimo,Residential Subdivision - Maple Hills  ,"HUTCHISON ROAD, SHAWNIGAN DISTRICT","Lisa Daugenet, Engineering Technologist",(250) 746-2530,ldaugenet@cvrd.bc.ca,48.6896,123.581,"HUTCHISON ROAD, SHAWNIGAN DISTRICT","175 INGRAM STREET DUNCAN, BC V9L 1N8"
11635,Hazardous Waste Regulation,CAPITAL REGIONAL DISTRICT ,,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,VICTORIA,Unknown,,,48.537038,123.462886,VICTORIA,"BOX 1000 524 YATES ST VICTORIA, BC V8W 2S6"
11638,Permit,CONIFEX MACKENZIE FOREST PRODUCTS INC. ,7/19/1993,,Air,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 1,Electrical Power Industry,"Lawrie, Peter",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Mackenzie,logging camp  Camp,OMINECA CAMP - 700 M SE OF OSILINKA R. & WILLISTON,Unknown,() -,,56.10875,124.5026,approximately 700 metres south east of the confluence of the Osilinka River and Williston Lake,"Box 250 , Mill Rd, Mackenzie BC  V0J 2C0"
11638,Permit,CONIFEX MACKENZIE FOREST PRODUCTS INC. ,7/19/1993,,Refuse,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 1,Electrical Power Industry,"Lawrie, Peter",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Mackenzie,logging camp  Camp,OMINECA CAMP - 700 M SE OF OSILINKA R. & WILLISTON,Unknown,() -,,56.10875,124.5026,approximately 700 metres south east of the confluence of the Osilinka River and Williston Lake,"Box 250 , Mill Rd, Mackenzie BC  V0J 2C0"
11650,Permit,COUNTRY RHODES STRATA CORPORATION KAS 1411 ,4/30/1993,,Effluent,Cancelled,531300  Administration - Private,562220  Sewage Treatment,L,,N/A,,"Reiner, Mike",Penticton,Southern Interior,,Authorizations - South Region,Penticton,n/a  ,KELOWNA,Unknown,() -,,49.9701,119.368,KELOWNA,"201-1475 ELLIS STREET KELOWNA, BC V1Y 2A3"
11652,Operational Certificate,REGIONAL DISTRICT OF CENTRAL OKANAGAN ,8/28/1992,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Vroom, Bryan",Penticton,Southern Interior,Central Okanagan ,Authorizations - South Region,Penticton,Waste Water Treatment Plant  Waste Water Treatment Plant,"4261 Gellatly Road, West Kelowna BC",Al Ellsworth,(250) 469-6231,al.ellsworth@cord.bc.ca,49.8109,119.6352,"Lot A, District Lot 487, O.D.Y.D., Plan 40684","1450 KLO ROAD KELOWNA, BC V1W 3Z4"
11655,Permit,CANADIAN FOREST PRODUCTS LTD. IN ITS ENGLISH FORM AND PRODUITS FORESTIERS DU CANADA LTEE IN ITS FRENCH FORM.  ,3/30/1993,,Air,Active,113311  Forest Sector - Logging,113311  Forest Sector - Logging,L,,Schedule 2,Wood Processing Industry - Primary,"Barkowsky, Lisa",Prince George,Northern,Bulkley-Nechako,Authorizations - North Region,Fort St. James,log sort  ,"Lovell Cove, north of Fort St. James, BC",Unknown,() -,,55.61798,126.083,"Lovell Cove, north of Fort St. James, BC","PO BOX 9000, Prince George BC  V2L 4W2"
11655,Permit,CANADIAN FOREST PRODUCTS LTD. IN ITS ENGLISH FORM AND PRODUITS FORESTIERS DU CANADA LTEE IN ITS FRENCH FORM.  ,3/30/1993,,Refuse,Active,113311  Forest Sector - Logging,113311  Forest Sector - Logging,L,,Schedule 2,Wood Processing Industry - Primary,"Barkowsky, Lisa",Prince George,Northern,Bulkley-Nechako,Authorizations - North Region,Fort St. James,log sort  ,"Lovell Cove, north of Fort St. James, BC",Unknown,() -,,55.61798,126.083,"Lovell Cove, north of Fort St. James, BC","PO BOX 9000, Prince George BC  V2L 4W2"
11658,Permit,RINNER HOLDINGS LTD. ,4/15/1993,,Effluent,Cancelled,531300  Administration - Private,562220  Sewage Treatment,L,,N/A,,"White, Kirsten",Nanaimo,Southern Interior,Central Coast ,Authorizations - South Region,Williams Lake,Sewage   Sewage treatment and disposal system,"PO BOX 216, Bella Coola BC  V0T 1C0",Robbert Rinner,(250) 982-2212,baymotorhotel@yahoo.ca,52.3914,126.5611,"Plan 48177, Lot 1, SE �, Township 2, Range 3, Coast Land District and East � of the West � of the Southeast �, section 12, Township 2, Range 3, Coast Land District.","PO BOX 216 BELLA COOLA, BC V0T 1C0"
