Job Type,Tracking Number,Authorization Number,Job Status,SAP Phase,Received Date,Created Date,Completed Date,Authorization Type,Administrative Area,Amendment Type,Latitude,Longitude,Application Type,Transaction Type,Complexity,Intake,Preliminary Application,Applicant Work Window,In Screening,Review and Decision,Processing,Days in Process,Withdrawn Date
Registration Amendment,363135,17780,Completed,,2017-06-01,2017-07-21 14:44,2017-07-21 14:49,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,Minor,59.4631,121.3839,Transfer,EM General,Simple,,,,,,,50,
Registration Amendment,363136,105400,Completed,,2017-06-01,2017-07-21 15:24,2017-07-21 15:28,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,Minor,59.6436,120.6369,Transfer,EM General,Simple,,,,,,,50,
Authorization Amendment,363137,6017,In Review,Review and Decision,2017-07-21,2017-07-21 15:48,,Permit,Authorizations - South Region,Minor,49.3931,119.8972,Internal Amendment,EM General,Medium,,,,,,,1382.6,
Registration Amendment,363138,105005,Completed,,2017-06-01,2017-07-21 15:56,2017-07-21 16:01,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,Minor,56.44087,120.89042,Transfer,EM General,Simple,,,,,,,50,
Auth Cancel Susp and Aband App,363140,3746,Approved,,2017-07-21 16:15,2017-07-21 16:15,2018-01-19,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,181.3,
Authorization Amendment,363141,16888,Approved,,2017-06-01,2017-07-21 16:16,2017-09-25 10:42,Permit,Express Transactions,Minor,59.5644,121.0561,Transfer,EM General,Simple,,,,,,,116,
Authorization Amendment,363222,107783,Approved,,2017-07-25,2017-07-25 11:52,2017-08-28 8:45,Permit,Mining Team,Minor,49.0092397,118.613883,Internal Amendment,EM General,Medium,,,,,,,31,
Auth Cancel Susp and Aband App,363225,12888,Approved,,2017-07-25 13:41,2017-07-25 13:41,2018-02-28,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,217.4,
Auth Cancel Susp and Aband App,363228,107638,Approved,,2017-07-25 14:48,2017-07-25 14:48,2017-08-16,Permit,Land Remediation,,,,Abandon,EM General,Medium,,,,,,,21.4,
New Registration,363229,109011,Completed,,2017-07-25,2017-07-25 15:14,2017-07-26 16:02,Code of Practice for Soil Amendments,Express Transactions,,49.3535,117.6779,,Express,Simple,0.6,,,,,0.8,1,
New Registration,363234,109012,Completed,,2017-07-25,2017-07-25 15:47,2017-07-26 16:06,Code of Practice for Soil Amendments,Express Transactions,,49.4672,117.4538,,Express,Simple,0.7,,,,,0.8,1,
Authorization Amendment,363255,13640,Pending Final Application,Applicant Work Window,2017-07-25,2017-07-26 12:47,,Permit,Authorizations - South Region,Major,49.0238,122.4216,,Routine,Medium,1,443,934,,,,1378.6,
Authorization Amendment,363285,5610,Approved,,2017-07-26,2017-07-27 10:56,2018-03-01 10:50,Permit,Express Transactions,Minor,50.4994,116.1597,Name Change,EM General,Simple,,,,,,,217,
Authorization Amendment,363367,105692,Approved,,2017-07-28,2017-07-28 16:52,2017-07-31 9:54,Permit,Authorizations - South Region,Minor,49.011336,118.821023,Internal Amendment,EM General,Medium,,,,,,,3,
New Registration,363394,109015,Completed,,2017-07-28,2017-07-31 10:39,2017-08-22 14:52,Organic Matter Recycling Regulation,Authorizations - South Region,,50.5905,120.2957,,Express,Medium,3,0,,,22.2,,25,
De-Registration,363512,107149,Completed,,2017-08-02 8:09,2017-08-02 8:09,2017-08-15 10:33,Municipal Wastewater Regulation,Authorizations - North Region,,,,,Express,Medium,0,,,,,7.3,6.7,
Registration Amendment,363514,105444,Completed,,2017-07-17,2017-08-02 8:27,2017-08-08 9:38,Code of Practice for Slaughter and Poultry Processing,Express Transactions,Minor,49.5505,117.6713,,Express,Simple,16.4,,,,,6,22,
New Registration,363515,109022,Pending Final Application,Applicant Work Window,2017-07-31,2017-08-02 9:05,,Hazardous Waste Regulation,Authorizations - South Region,,49.6359489,115.941318,,Routine,Medium,2.4,433,937.2,,,,1372.6,
Authorization Amendment,363518,17789,Approved,,2017-08-02,2017-08-02 9:52,2017-09-14 15:49,Permit,Mining Team,Minor,57.13333,131.4583,Internal Amendment,EM General,Medium,,,,,,,42,
Authorization Amendment,363520,108933,Approved,,2017-08-02,2017-08-02 10:22,2017-08-02 15:15,Approval,Land Remediation,Minor,50.54569,118.96313,Internal Amendment,EM General,Medium,,,,,,,0,
New Registration,363527,109023,In Review,Review and Decision,2017-07-31,2017-08-02 13:54,,Municipal Wastewater Regulation,Authorizations - South Region,,49.231608,123.972126,,Routine,Medium,2.6,119.1,727.7,20.1,503.1,,1372.6,
Registration Amendment,363546,17213,Completed,,2017-08-02,2017-08-03 9:36,2017-08-10 9:22,Municipal Wastewater Regulation,Authorizations - North Region,Minor,54.3807,120.1516,Name Change,EM General,Medium,,,,,,,7,
Authorization Amendment,363548,14830,Approved,,2017-08-02,2017-08-03 10:56,2018-03-01 12:00,Permit,Express Transactions,Minor,57.61847,121.914288,Name Change,EM General,Simple,,,,,,,210,
New Registration,363561,109026,Completed,,2017-08-03,2017-08-03 14:21,2017-08-23 12:11,Organic Matter Recycling Regulation,Authorizations - South Region,,49.7483,125.3207,,Express,Medium,3,2.8,,,17.1,,19,
Authorization Amendment,363571,14800,Approved,,2017-08-04,2017-08-04 8:36,2017-12-19 11:40,Permit,Mining Team,Minor,53.68333,127.1666,Internal Amendment,EM General,Medium,,,,,,,136,
Authorization Amendment,363576,13943,Approved,,2017-08-04,2017-08-04 9:55,2017-12-20 8:25,Permit,Mining Team,Minor,53.68333,127.1666,Internal Amendment,EM General,Medium,,,,,,,136,
Authorization Amendment,363577,2065,Approved,,2017-08-04,2017-08-04 10:29,2017-08-28 8:50,Permit,Authorizations - North Region,Minor,53.927,122.7028,Internal Amendment,EM General,Medium,,,,,,,21,
Authorization Amendment,363641,4396,In Review,Review and Decision,2017-08-03,2017-08-08 10:29,,Permit,Authorizations - South Region,Minor,48.7611,123.6389,,Routine,Medium,5,86.2,0,0,1191.3,,1369.6,
Authorization Amendment,363649,108255,Approved,,2017-08-08,2017-08-08 12:45,2017-09-15 15:34,Permit,Oil & Gas Commission,Minor,56.68888,122.1586111,,Routine,Medium,0,38,0,0,0.1,,38,
Authorization Amendment,363759,114,Approved,,2016-12-16,2017-08-13 14:55,2017-09-21 15:55,Permit,Authorizations - South Region,Minor,48.87,123.66,Internal Amendment,EM General,Medium,,,,,,,278,
Auth Cancel Susp and Aband App,363785,7581,Approved,,2017-08-14 10:12,2017-08-14 10:12,2018-02-28,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,197.6,
De-Registration,363787,103441,Completed,,2017-08-14 11:23,2017-08-14 11:23,2017-09-01 11:58,Code of Practice for Slaughter and Poultry Processing,Express Transactions,,,,,Express,Simple,0,,,,,1.9,18,
De-Registration,363788,107409,Completed,,2017-08-14 12:02,2017-08-14 12:02,2017-08-15 13:15,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1,1.1,
New Registration,363789,109032,Completed,,2017-08-10,2017-08-14 13:13,2017-08-16 11:48,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,53.24586,132.005583,,Express,Simple,4.6,,,,,1,5,
Auth Cancel Susp and Aband App,363791,17860,Approved,,2017-08-14 15:30,2017-08-14 15:30,2017-12-20,Permit,Authorizations - South Region,,,,Cancel,EM General,Simple,,,,,,,127.4,
Auth Cancel Susp and Aband App,363804,2052,Approved,,2017-08-15 10:06,2017-08-15 10:06,2017-10-11,Permit,Land Remediation,,,,Cancel,EM General,Simple,,,,,,,56.6,
New Registration,363807,109033,Completed,,2017-08-14,2017-08-15 12:11,2017-08-17 13:35,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,49.0386,122.3462,,Express,Simple,1.5,,,,,1.9,3,
New Registration,363809,109035,Completed,,2017-08-14,2017-08-15 15:21,2017-08-17 12:09,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,49.203059,123.094451,,Express,Simple,1.6,,,,,1.8,3,
Authorization Amendment,363834,108716,Approved,,2017-08-16,2017-08-16 9:38,2017-09-06 15:03,Approval,Land Remediation,Minor,50.5878,127.0514,Internal Amendment,EM General,Medium,,,,,,,20,
New Registration,363877,109042,Completed,,2017-08-15,2017-08-17 14:17,2019-02-28 8:15,Municipal Wastewater Regulation,Authorizations - North Region,,53.6022,127.8142,,Routine,Medium,2.6,403.9,14.2,0.9,139.1,,560,
Registration Amendment,363900,103282,Completed,,2017-08-18,2017-08-18 10:31,2017-08-21 15:17,Land-Based Finfish Waste Control Regulation,Express Transactions,Minor,49.536848,123.762022,Name Change,EM General,Simple,,,,,,,3,
De-Registration,363917,108643,Completed,,2017-08-18 14:13,2017-08-18 14:13,2017-08-22 13:54,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.8,4,
De-Registration,363918,108635,Completed,,2017-08-18 14:30,2017-08-18 14:30,2017-08-22 13:56,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.9,4,
De-Registration,363919,106490,Completed,,2017-08-18 14:37,2017-08-18 14:37,2017-08-22 14:25,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.8,4,
De-Registration,363920,106491,Completed,,2017-08-18 14:42,2017-08-18 14:42,2017-08-22 14:26,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.8,4,
De-Registration,363921,106492,Completed,,2017-08-18 14:47,2017-08-18 14:47,2017-08-22 14:27,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.8,4,
De-Registration,363922,106494,Completed,,2017-08-18 14:51,2017-08-18 14:51,2017-08-22 14:28,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.8,4,
De-Registration,363923,106500,Completed,,2017-08-18 14:54,2017-08-18 14:54,2017-08-22 14:27,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.9,4,
De-Registration,363924,106501,Completed,,2017-08-18 15:03,2017-08-18 15:03,2017-08-22 14:29,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.9,4,
De-Registration,363925,106503,Completed,,2017-08-18 15:10,2017-08-18 15:10,2017-08-22 14:29,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.9,4,
De-Registration,363926,106504,Completed,,2017-08-18 15:13,2017-08-18 15:13,2017-08-22 14:30,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,3.9,4,
De-Registration,363962,106505,Completed,,2017-08-21 9:38,2017-08-21 9:38,2017-08-22 14:31,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363963,106506,Completed,,2017-08-21 9:43,2017-08-21 9:43,2017-08-22 14:31,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363964,106508,Completed,,2017-08-21 9:46,2017-08-21 9:46,2017-08-22 14:32,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363965,106509,Completed,,2017-08-21 9:48,2017-08-21 9:48,2017-08-22 14:33,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363966,106510,Completed,,2017-08-21 9:51,2017-08-21 9:51,2017-08-22 14:33,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363967,106511,Completed,,2017-08-21 9:53,2017-08-21 9:53,2017-08-22 14:34,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363968,106513,Completed,,2017-08-21 10:02,2017-08-21 10:02,2017-08-22 14:34,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363969,106514,Completed,,2017-08-21 10:06,2017-08-21 10:06,2017-08-22 14:35,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363970,106515,Completed,,2017-08-21 10:14,2017-08-21 10:14,2017-08-22 14:36,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363971,106516,Completed,,2017-08-21 10:20,2017-08-21 10:20,2017-08-22 14:36,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363972,106517,Completed,,2017-08-21 10:27,2017-08-21 10:27,2017-08-22 14:37,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363973,106518,Completed,,2017-08-21 10:31,2017-08-21 10:31,2017-08-22 14:38,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363974,106519,Completed,,2017-08-21 10:35,2017-08-21 10:35,2017-08-22 14:38,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363975,106520,Completed,,2017-08-21 10:39,2017-08-21 10:39,2017-08-22 14:39,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
De-Registration,363976,108261,Completed,,2017-08-21 10:45,2017-08-21 10:45,2017-08-22 14:39,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,1.1,1.2,
Authorization Amendment,363977,1777,Approved,,2017-08-18,2017-08-21 11:23,2018-12-11 12:03,Permit,Express Transactions,Minor,56.21,120.717,Transfer,EM General,Medium,,,,,,,479,
New Registration,363981,109045,Completed,,2017-08-18,2017-08-21 15:57,2017-08-24 11:18,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,52.1214,122.1314,,Express,Simple,3.7,,,,,1,4,
New Registration,363982,109046,Completed,,2017-08-18,2017-08-21 16:08,2017-08-24 13:09,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,54.0554,128.6889,,Express,Simple,3.7,,,,,0.9,4,
De-Registration,363992,106502,Completed,,2017-08-22 8:33,2017-08-22 8:33,2017-08-22 14:41,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,0.2,0.3,
De-Registration,363993,106363,Completed,,2017-08-22 8:47,2017-08-22 8:47,2017-08-22 14:41,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,0.2,0.2,
De-Registration,363995,6798,Completed,,2017-08-22 9:27,2017-08-22 9:27,2017-08-22 14:40,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,,,,Express,Simple,0,,,,,0.2,0.2,
De-Registration,363996,108810,Completed,,2017-08-22 9:44,2017-08-22 9:44,2017-08-22 9:46,Oil & Gas Waste Regulation (Well Test),Express Transactions,,,,,Express,Simple,0,,,,,0,0,
De-Registration,363999,108912,Completed,,2017-08-22 10:30,2017-08-22 10:30,2017-08-22 10:31,Oil & Gas Waste Regulation (Well Test),Express Transactions,,,,,Express,Simple,0,,,,,0,0,
New Registration,364000,109047,Completed,,2017-08-18,2017-08-22 10:57,2017-08-24 13:14,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,50.6586,120.3997,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364001,109048,Completed,,2017-08-18,2017-08-22 11:05,2017-08-24 13:15,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,50.6931,120.3232,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364002,109049,Completed,,2017-08-18,2017-08-22 11:11,2017-08-24 13:17,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.3651,121.5158,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364003,109050,Completed,,2017-08-18,2017-08-22 11:23,2017-08-24 13:18,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.1462,122.0059,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364005,109051,Completed,,2017-08-18,2017-08-22 11:28,2017-08-24 13:20,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.7168,123.149,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364006,109052,Completed,,2017-08-18,2017-08-22 11:32,2017-08-24 13:21,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.0164,122.2668,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364007,109053,Completed,,2017-08-18,2017-08-22 11:36,2017-08-24 13:23,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.1742,122.6662,,Express,Simple,4.5,,,,,0.2,4,
Authorization Amendment,364009,15335,Approved,,2017-08-18,2017-08-22 11:40,2018-09-24 12:16,Permit,Mining Team,Major,56.984,126.783,,Routine,Complex,4,44,84,0.2,267.1,,399,
New Registration,364010,109054,Completed,,2017-08-18,2017-08-22 11:56,2017-08-24 13:24,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.198,123.1368,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364011,109055,Completed,,2017-08-18,2017-08-22 12:02,2017-08-24 13:25,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,48.8368,123.7174,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364012,109056,Completed,,2017-08-18,2017-08-22 12:11,2017-08-24 13:27,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.0326,118.4669,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364013,109057,Completed,,2017-08-18,2017-08-22 12:17,2017-08-24 13:29,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,50.3149,119.2445,,Express,Simple,4.5,,,,,0.2,4,
New Registration,364026,109061,Completed,,2017-08-18,2017-08-23 8:43,2017-08-24 13:31,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.1023,122.7344,,Express,Simple,5.4,,,,,0.1,5,
New Registration,364028,109063,Completed,,2017-08-18,2017-08-23 8:49,2017-08-24 13:33,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.2084,124.0384,,Express,Simple,5.4,,,,,0.1,5,
New Registration,364029,109064,Completed,,2017-08-18,2017-08-23 8:55,2017-08-24 13:34,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,48.6928,123.5474,,Express,Simple,5.4,,,,,0.1,5,
New Registration,364031,109065,Completed,,2017-08-18,2017-08-23 9:08,2017-08-24 13:35,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,54.7682,127.1418,,Express,Simple,5.4,,,,,0.1,5,
New Registration,364032,109066,Completed,,2017-08-18,2017-08-23 9:12,2017-08-24 13:37,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.0547,123.1104,,Express,Simple,5.4,,,,,0.1,5,
New Registration,364033,109067,Completed,,2017-08-18,2017-08-23 9:17,2017-08-24 13:38,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.9239,119.3853,,Express,Simple,5.4,,,,,0.1,5,
New Registration,364034,109068,Completed,,2017-08-18,2017-08-23 9:24,2017-08-24 13:39,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.2308,122.8199,,Express,Simple,5.4,,,,,0.1,5,
New Registration,364035,109069,Completed,,2017-08-18,2017-08-23 9:35,2017-08-24 13:43,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.5347,115.7423,,Express,Simple,5.4,,,,,0.1,5,
New Registration,364036,109070,Completed,,2017-08-18,2017-08-23 9:40,2017-08-24 13:44,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,53.8835,122.7434,,Express,Simple,5.4,,,,,0.2,5,
New Registration,364037,109071,Completed,,2017-08-18,2017-08-23 9:45,2017-08-24 13:45,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.1807,122.929,,Express,Simple,5.4,,,,,0.2,5,
New Registration,364038,109072,Completed,,2017-08-18,2017-08-23 9:50,2017-08-24 13:46,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,54.0141,124.0118,,Express,Simple,5.4,,,,,0.2,5,
New Registration,364039,109073,Completed,,2017-08-18,2017-08-23 9:56,2017-08-24 13:47,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,51.0119,118.2122,,Express,Simple,5.4,,,,,0.2,5,
New Registration,364040,109074,Completed,,2017-08-18,2017-08-23 10:00,2017-08-24 13:55,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,54.2281,125.7648,,Express,Simple,5.4,,,,,0.2,5,
New Registration,364041,109075,Completed,,2017-08-18,2017-08-23 10:04,2017-08-24 13:57,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,49.1304,123.9198,,Express,Simple,5.4,,,,,0.2,5,
New Registration,364042,109076,Completed,,2017-08-18,2017-08-23 10:08,2017-08-24 13:58,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,,50.0311,125.2742,,Express,Simple,5.4,,,,,0.2,5,
New Registration,364059,109078,Completed,,2017-08-21,2017-08-23 13:39,2018-10-12 14:43,Hazardous Waste Regulation,Authorizations - North Region,,53.96775,122.76465,,Routine,Medium,2.6,397.9,14.1,0.9,0.1,,415,
Authorization Amendment,364060,1935,Approved,,2017-08-22,2017-08-23 15:15,2020-08-17 13:33,Permit,Authorizations - South Region,Minor,49.3745,115.2257,,Routine,Medium,1,71.1,193.8,86,727.9,,1080,
New Authorization,364064,109079,Awaiting Decision,Review and Decision,2017-08-22,2017-08-24 8:04,,Permit,Authorizations - South Region,,49.1218,117.5369,,Routine,Medium,2,91.2,364.8,0.2,804.3,,1350.6,
New Registration,364067,109080,Completed,,2017-08-22,2017-08-24 10:43,2017-09-12 8:06,Code of Practice for Soil Amendments,Express Transactions,,49.3611,117.6696,,Express,Simple,2.4,,,,,18.2,20,
New Authorization,364072,109085,Approved,,2017-08-24,2017-08-24 16:08,2018-08-31 8:45,Approval,Authorizations - North Region,,49.2881,122.9547,,Routine,Medium,0,195,47.9,0,112.1,,355,
De-Registration,364196,108415,Completed,,2017-08-25 14:26,2017-08-25 14:26,2017-12-28 13:17,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,,,,,Express,Simple,0,,,,,0,125,
New Authorization,364280,109087,Approved,,2017-08-23,2017-08-28 9:51,2019-06-04 11:14,Permit,Mining Team,,50.2147,115.7102,,Routine,Complex,5,94.2,0,34.1,497.9,,631,
Authorization Amendment,364284,18297,Approved,,2017-08-28,2017-08-28 11:14,2017-09-15 9:23,Permit,Mining Team,Minor,57.0851,130.2985,Internal Amendment,EM General,Medium,,,,,,,17,
Authorization Amendment,364286,18357,Approved,,2017-08-28,2017-08-28 15:04,2017-09-15 9:18,Permit,Mining Team,Minor,57.0767,131.0620342,Internal Amendment,EM General,Medium,,,,,,,17,
Authorization Amendment,364288,18358,Approved,,2017-08-28,2017-08-28 16:59,2017-09-14 13:06,Permit,Mining Team,Minor,57.0423435,131.2315666,Internal Amendment,EM General,Medium,,,,,,,16,
Registration Amendment,364294,16412,In Review,Review and Decision,2017-08-24,2017-08-29 8:42,,Hazardous Waste Regulation,Authorizations - South Region,Minor,49.197791,123.075195,,Routine,Medium,5.4,415,238.3,42,408.6,,1348.6,
Authorization Amendment,364300,5061,Approved,,2017-08-26,2017-08-29 14:36,2018-10-22 10:52,Permit,Mining Team,Major,50.1901,114.8801,,Routine,Complex,3,93,136.9,0,186.1,,419,
Authorization Amendment,364324,1951,Approved,,2017-08-10,2017-08-30 11:30,2020-07-16 9:34,Permit,Authorizations - South Region,Minor,49.0261,118.439,,Routine,Medium,20,288.3,187.7,0,574.2,,1070,
Authorization Amendment,364325,7232,Approved,,2017-08-29,2017-08-30 11:36,2019-08-02 9:55,Permit,Authorizations - South Region,Major,49.0654,122.2976,,Routine,Complex,1,169.1,0,4.9,479.1,,702,
Auth Cancel Susp and Aband App,364336,5275,Approved,,2017-08-31 9:04,2017-08-31 9:04,2018-03-23,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,203.6,
New Authorization,364401,109090,Approved,,2017-08-30,2017-09-01 11:40,2019-06-28 11:45,Permit,Authorizations - North Region,,54.235035,130.294832,,Routine,Medium,2,254.9,37.2,0,369,,663,
De-Registration,364403,106397,Completed,,2017-09-01 13:24,2017-09-01 13:24,2017-09-12 12:38,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,,,,Express,Simple,0,,,,,10.9,11,
New Registration,364404,109091,Completed,,2017-09-01,2017-09-01 14:44,2017-10-13 12:52,Organic Matter Recycling Regulation,Authorizations - South Region,,49.1717,122.4739,,Express,Medium,11,10.9,,,31,,40,
New Registration,364481,109092,Completed,,2017-09-01,2017-09-05 10:50,2017-09-14 10:39,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,49.635884,115.941329,,Express,Simple,4.5,,,,,8,12,
New Authorization,364483,109093,Approved,,2017-09-05,2017-09-05 11:46,2018-03-01 12:22,Permit,Oil & Gas Commission,,57.145,121.269,,Routine,Medium,0,30.2,21,21.9,103.8,,177,
Authorization Amendment,364516,3133,Approved,,2017-09-05,2017-09-06 9:38,2018-03-27 8:36,Permit,Authorizations - North Region,Minor,54.0145,124.05155,,Routine,Medium,1,152.1,0,0,45.1,,198,
Auth Cancel Susp and Aband App,364523,15459,Approved,,2017-09-06 15:57,2017-09-06 15:57,2017-12-12,Permit,Authorizations - South Region,,,,Cancel,EM General,Complex,,,,,,,96.3,
New Registration,364530,109096,Completed,,2017-09-06,2017-09-07 8:16,2017-09-14 10:31,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,49.0106,118.7786,,Express,Simple,1.3,,,,,6.1,7,
Auth Cancel Susp and Aband App,364531,3154,Approved,,2017-09-07 9:50,2017-09-07 9:50,2018-03-23,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,196.6,
New Registration,364533,109097,Completed,,2017-09-06,2017-09-07 11:13,2017-09-18 14:09,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,49.3959834,117.642429,,Express,Simple,1.5,,,,,11,12,
Authorization Amendment,364534,17239,Approved,,2017-08-31,2017-09-07 11:25,2018-04-20 8:58,Permit,Express Transactions,Minor,49.283,117.312,Name Change,EM General,Simple,,,,,,,204,
De-Registration,364535,108663,Completed,,2017-09-07 13:19,2017-09-07 13:19,2017-10-13 14:18,Organic Matter Recycling Regulation,Authorizations - South Region,,,,,Express,Simple,0,,,,,35,36,
Authorization Amendment,364543,108842,Approved,,2017-09-07,2017-09-07 14:55,2017-09-15 12:25,Permit,Oil & Gas Commission,Minor,56.702083,121.540625,,Routine,Medium,0,0,0,0,6.9,,7,
De-Registration,364579,100344,Completed,,2017-09-08 9:41,2017-09-08 9:41,2017-09-14 10:49,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,,,,Express,Simple,0,,,,,6,6,
